quote,author
In a mood of faith and hope my work goes on. A ream of fresh paper lies on my desk waiting for the next book. I am a writer and I take up my pen to write.-- Pearl S. Buck,unknown
"Man was born rich, or inevitably grows rich by the use of his faculties; by the union of thought with nature.-- Ralph Waldo Emerson",unknown
"If we cannot now end our differences, at least we can help made the world safe for diversity.-- John F. Kennedy",unknown
Patience: To wait with certainity; the art of allowing life to carry you.-- Chinese Proverb,unknown
"Success is never final, failure is never fatal. It''s courage that counts.-- John R. Wooden",unknown
"Happiness is inward, and not outward; and so, it does not depend on what we have, but on what we are.-- Henry Van Dyke",unknown
"No horse gets anywhere until he is harnessed. No stream or gas drives anything until it is confined. No Niagara is ever turned into light and power until it is tunneled. No life ever grows great until it is focused, dedicated, disciplined.-- Harry Emerson Fosdick",unknown
"To serve is beautiful, but only if it is done with joy and a whole heart and a free mind.-- Pearl S. Buck",unknown
The highest vocation we can have is Love. Love in action is service.-- Ken Essien,unknown
The unity of freedom has never relied on uniformity of opinion.-- John F. Kennedy,unknown
One may go a long way after one is tired.-- French Proverb,unknown
What would life be if we had no courage to attempt anything?-- Vincent Van Gogh,unknown
Listening to someone talk isn't at all like listening to their words played over on a machine. What you hear when you have a face before you is never what you hear when you have before you a winding tape.-- J. E. Buckrose,unknown
The wave of the future is not the conquest of the world by a single dogmatic creed but the liberation of the diverse energies of free nations and free men.-- Oriana Fallaci,unknown
The man who removes a mountain begins by carrying away small stones.-- Chinese Proverb,unknown
"Great things are not done by impulse, but by a series of small things brought together.-- Vincent Van Gogh",unknown
"Hard work spotlights the character of people: some turn up their sleeves, some turn up their noses, and some don''t turn up at all.-- Sam Ewing",unknown
"The life I touch for good or ill will touch another life, and that in turn another, until who knows where the trembling stops or in what far place my touch will be felt.-- Frederick Buechner",unknown
"Relationships of trust depend on our willingness to look not only to our own interests, but also the interests of others.-- Peter Farquharson",unknown
Believe in yourself and there will come a day when others will have no choice but to believe with you.-- Cynthia Kersey,unknown
Persistence can grind an iron beam down into a needle.-- Chinese Proverb,unknown
Be clearly aware of the stars and infinity on high. Then life seems almost enchanted after all.-- Vincent Van Gogh,unknown
"To forgive is the highest, most beautiful form of love. In return, you will receive untold peace and happiness.-- Robert Muller",unknown
"When a person is down in the world, an ounce of help is better than a pound of preaching.-- Edward G. Bulwer-Lytton",unknown
"I believe that man will not merely endure: he will prevail. He is immortal, not because he alone among creatures has an inexhaustible voice, but because he has a soul, a spirit capable of compassion and sacrifice and endurance.-- William Faulkner",unknown
Prepare the umbrella before it rains.-- Malay Proverb,unknown
"Friends broaden our horizons. They serve as new models with whom we can identify. They allow us to be ours--and accept us that way. They enhance our self-esteem because they think we''re okay, because we matter to them. And because they matter to us-for various reasons, at various levels of intensity-they enrich the quality of our emotional life.-- Judith Viorst",unknown
Sincere forgiveness isn't colored with expectations that the other person apologize or change. Don't worry whether or not they finally understand you. Love them and release them. Life feeds back truth to people in its own way and time-- Sara Paddison,unknown
A good heart is better than all the heads in the world.-- Edward G. Bulwer-Lytton,unknown
"We all need to know what it means to be honest. Honesty is more than not lying. It is truth telling, truth speaking, truth living, and truth loving.-- James E. Faust",unknown
He who wants a rose must respect the thorn.-- Persian Proverb,unknown
"Arise, awake, and stop not until the goal is achieved.-- Swami Vivekananda",unknown
"Without forgiveness, there''s no future.-- Archbishop Desmond Tutu",unknown
You have a clean slate every day you wake up. You have a chance every single morning to make that change and be the person you want to be. You just have to decide to do it. Decide today's the day. Say it; This is going to be my day.-- Brendon Burchard,unknown
Success seems to be largely a matter of hanging on after others let go.-- William Feather,unknown
"We must develop and maintain the capacity to forgive. He who is devoid of the power to forgive is devoid of the power to love. There is some good in the worst of us and some evil in the best of us.-- Martin Luther King, Jr.",unknown
"If you want to be respected, you must respect yourself.-- Spanish Proverb",unknown
"Success flourishes only in perseve--ceaseless, restless perseverance.-- Baron Manfred von Richthofen",unknown
No snowflake in an avalanche ever feels responsible.-- Voltaire,unknown
"Manners are of more importance than laws. Manners are what vex or soothe, corrupt or purify, exalt or debase, barbarize or refine us, by a constant, steady, uniform, insensible operation, like that of the air we breathe in.-- Edmund Burke",unknown
"I fear no one, but I respect everyone.-- Roger Federer",unknown
"Forgiveness is not an occasional act: it is an attitude.-- Martin Luther King, Jr.",unknown
The young should be treated with respect.-- Chinese Proverb,unknown
The only thing necessary for the triumph of evil is for good men to do nothing.-- Edmund Burke,unknown
There is no end. There is no beginning. There is only the infinite passion of life.-- Federico Fellini,unknown
"One may be old in years, but not in spirit, or poor in wealth, but not in ambition.-- Chinese Proverb",unknown
"Where there is life, there is hope. Where there are hopes, there are dreams. Where there are vivid dreams repeated, they become goals. Goals become the action plans and game plans that winners dwell on in intricate detail, knowing that achievement is almost automatic when the goal becomes an inner commitment. The response to the challenges of life-purpose-is the healing balm that enables each of us to face up to adversity and strife.-- Dennis Waitley",unknown
The most beautiful discovery true friends make is that they can grow separately without growing apart.-- Elizabeth Foley,unknown
"When bad men combine, the good must associate; else they will fall, one by one, an unpitied sacrifice in a contemptible struggle.-- Edmund Burke",unknown
Set your expectations high; find men and women whose integrity and values you respect; get their agreement on a course of action; and give them your ultimate trust.-- John Fellows Akers,unknown
"It is the small doubts of timid souls that accomplish their ruin. It is the narrow vision, the fear and trembling hesitation, that constitute defeat.-- Alice Foote MacDougall",unknown
Crime does not pay ... as well as politics.-- A. E. Newman,unknown
"If a man is called to be a streetsweeper, he should sweep streets even as Michelangelo painted, or Beethoven played music, or Shakespeare wrote poetry. He should sweep streets so well that all the hosts of heaven and earth will pause to say, here lived a great streetsweeper who did his job well.-- Martin Luther King, Jr.",unknown
"Man has responsibility, not power.-- Tuscarora Proverb",unknown
"The reason most people never reach their goals is that they don''t define them, learn about them, or even seriously consider them as believable or achievable.-- Dennis Waitley",unknown
"When we honestly ask ourselves which person in our lives means the most us, we often find that it is those who, instead of giving much advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a gentle and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.-- Henri Nouwen",unknown
Only I can change my life. No one can do it for me.-- Carol Burnett,unknown
The words of kindness are more healing to a drooping heart than balm or honey.-- Sarah Fielding,unknown
"Life''s most urgent question is: What are you doing for others?-- Martin Luther King, Jr.",unknown
"By learning you will teach, by teaching you will learn.-- Latin Proverb",unknown
Success is almost totally dependent upon drive and persistence. The extra energy required to make another effort or try another approach is the secret of winning.-- Dennis Waitley,unknown
"We all need friends with whom we can speak of our deepest concerns, and who do not fear to speak the truth in love to us.-- Margaret Guenther",unknown
Greatness is more than potential. It is the execution of that potential. Beyond the raw talent. You need the appropriate training. You need the discipline. You need the inspiration. You need the drive.-- Eric A. Burns,unknown
"Nobody has ever measured, not even poets, how much the heart can hold.-- Zelda Fitzgerald",unknown
"If you lose hope, somehow you lose the vitality that keeps life moving, you lose that courage to be, that quality that helps you go on in spite of it all.-- Martin Luther King, Jr.",unknown
Personal example carries more weight than preaching.-- Chinese Proverb,unknown
"If a child is to keep alive his inborn sense of wonder, he needs the companionship of at least one adult who can share it, rediscovering with him the joy, excitement and mystery of the world we live in.-- Howard Arnold Walter",unknown
Dare to be honest and fear no labor.-- Robert Burns,unknown
Action is character.-- F. Scott Fiztgerald,unknown
"Hatred paralyzes life; love releases it. Hatred confuses life; love harmonizes it. Hatred darkens life; love illumines it.-- Martin Luther King, Jr.",unknown
"When two are of one mind, their strength can cut gold.-- Chinese Proverb",unknown
To carry a grudge is like being stung to death by one bee.-- William Walton,unknown
What is a friend? A single soul dwelling in two bodies.-- Aristotle,unknown
Vitality shows in not only the ability to persist but the ability to start over.-- Henry Burton,unknown
"Even if I knew that tomorrow the world would go to pieces, I would still plant my apple tree.-- F. Scott Fiztgerald",unknown
"It is an equal failing to trust everybody, and to trust nobody.-- Martin Luther King, Jr.",unknown
Courtesy is the one coin you can never have too much of or be stingy with.-- John Wanamaker,unknown
"Too often we underestimate the power of a touch, a smile, a kind word, a listening ear, an honest compliment, or the smallest act of caring, all of which have the potential to turn a life around.-- Albert Camus",unknown
"One must always hope when one is desperate, and doubt when one hopes.-- Dr. Leo Buscaglia",unknown
Unity is power.-- Arabic Proverb,unknown
"Greatness is not found in possessions, power, position, or prestige. It is discovered in goodness, humility, service, and character.-- William Arthur Ward",unknown
The hardest arithmetic to master is that which enables us to count our blessings.-- Eric Hoffer,unknown
"Change is the end result of all true learning. Change involves three things: First, a dissatisfaction with -- a felt void or need; second, a decision to change to fill the void or need; and third, a conscious dedication to the process of growth and ch-- the willful act of making the change, doing something.-- Dr. Leo Buscaglia",unknown
"Most of us, swimming against the tides of trouble the world knows nothing about, need only a bit of praise or encourage-- and we will make the goal.-- Jerome P. Fleishman",unknown
"I have a dream that my four children will one day live in a nation where they will not be judged by the color of their skin, but by the content of their character.-- Martin Luther King, Jr.",unknown
Variety is the spice of life.-- American Proverb,unknown
You measure the size of the accomplishment by the obstacles you had to overcome to reach your goals!-- Booker T. Washington,unknown
"The Pilgrims made seven times more graves than huts. No Americans have been more impoverished than these who, nevertheless, set aside a day of thanksgiving.-- H. U. Westermayer",unknown
I have a very strong feeling that the opposite of love is not -- it's apathy.-- Dr. Leo Buscaglia,unknown
By the work one knows the workman.-- Jean de La Fontaine,unknown
"Our lives begin to end the day we become silent about things that matter.-- Martin Luther King, Jr.",unknown
"At twenty-five I should have worn a big red A on my chest; it would have stood for ambition, an ambition so brazen and burning that it would have reduced Hester Prynne''s transgression to pale pink.-- Anna Quindlen",unknown
Any man's life will be filled with constant and unexpected encouragement if he makes up his mind to do his level best each day.-- Booker T. Washington,unknown
Gratitude is the fairest blossom which springs from the soul.-- Henry Ward Beecher,unknown
"If human beings are perceived as potentials rather than problems, as possessing strengths instead of weaknesses, as unlimited rather that dull and unresponsive, then they thrive and grow to their capabilities.-- Barbara Bush",unknown
Patience and time do more than strength or passion.-- Jean de La Fontaine,unknown
"Our children need our presence, not our presents.-- Martin Luther King, Jr.",unknown
The deepest craving of human nature is the need to be appreciated.-- William James,unknown
Giving frees us from the familiar territory of our own needs by opening our mind to the unexplained worlds occupied by the needs of others.-- Barbara Bush,unknown
I don't believe in aging. I believe in forever altering one's aspect to the sun. Hence my optimism.-- Oscar Wilde,unknown
"Ideas are only lethal if you suppress and don''t discuss them. Ignorance is not bliss, it''s stupid. Banning books shows you don''t trust your kids to think and you don''t trust yourself to be able to talk to them.-- Anna Quindlen",unknown
"I hope I shall possess firmness and virtue enough to maintain what I consider the most enviable of all titles, the character of an honest man.-- George Washington",unknown
"God gave you a gift of 86,400 seconds today. Have you used one to say ''thank you?''-- William Arthur Ward",unknown
Forgiveness is man's deepest need and highest achievement.-- Horace Bushnell,unknown
"Despising cowardice in others, I wished to prove myself no coward. Believing in the good, the gentle, the beautiful things of life, I addressed myself to the sweet duty of keeping these attributes for my children''s sake and my own. And in striving to provide a living for them, I found a success beyond my wildest dreams.-- Alice Foote MacDougall",unknown
"We must learn to live together as brothers or perish together as fools.-- Martin Luther King, Jr.",unknown
Courage doesn't always roar. Sometimes courage is the little voice at the end of the day that says I'll try again tomorrow.-- Mary Anne Radmacher,unknown
Labor to keep alive in your breast that little spark of celestial fire called conscience.-- George Washington,unknown
Gratitude is the memory of the heart.-- Jean-Baptiste Massieu,unknown
The question Who am I? is not a philosophical football meant to be kicked around coffeehouses by pseudo-intellectuals. It's a real-life question. Nothing is more important and more relevant than to know who you are.-- Chris Butler,unknown
Much of the success of life depends upon keeping one's mind open to opportunity and seizing it when it comes.-- Alice Foote MacDougall,unknown
"Our loyalties must transcend our race, our tribe, our class, and our nation; and this means we must develop a world perspective.-- Martin Luther King, Jr.",unknown
Those who can adapt to change are those who will continue to grow.-- Justin Ramalho,unknown
"Not what we say about our blessings, but how we use them, is the true measure of our thanksgiving.-- W. T. Purkiser",unknown
Optimism is the foundation of courage.-- Nicholas Murray Butler,unknown
You can easily judge the character of others by how they treat those who can do nothing for them or to them.-- Malcolm S. Forbes,unknown
"A blessed thing it is for any man or woman to have a friend, one human soul whom we can trust utterly, who knows the best and worst of us, and who loves us in spite of all our faults.-- Charles Kingsley",unknown
"Achievement of your happiness is the only moral purpose of your life, and that happiness, not pain or mindless self-indulgence, is the proof of your moral integrity, since it is the proof and the result of your loyalty to the achievement of your values.-- Ayn Rand",unknown
"Character is doing the right thing when nobody''s looking. There are too many people who think that the only thing that''s right is to get by, and the only thing that''s wrong is to get caught.-- J. C. Watts",unknown
Gratitude is happiness double by wonder.-- G. K. Chesterton,unknown
I have spread my dreams under your feet; Tread softly because you tread on my dreams.-- William Butler Yeats,unknown
Diamonds are nothing more than chunks of coal that stuck to their jobs.-- Malcolm S. Forbes,unknown
The very least you can do in your life is to figure out what you hope for. And the most you can do is live inside that hope.-- Barbara Kingsolver,unknown
The question isn't who is going to let me; it's who is going to stop me.-- Ayn Rand,unknown
The wise person understands that his own happiness must include the happiness of others.-- Dennis Weaver,unknown
A man is not idle because he is absorbed in thought. There is a visible labor and there is an invisible labor.-- Victor Hugo,unknown
"The longer I live, the more I am certain that the great difference between the great and the insignificant, is energy-invincible determination-a purpose once fixed, and then death or victory.-- Sir Thomas Buxton",unknown
There is joy in work. There is no happiness except in the realization that we have accomplished something.-- Henry Ford,unknown
I always prefer to believe the best of everybody-it saves so much trouble.-- Rudyard Kipling,unknown
"From the smallest necessity to the highest religious abstraction, from the wheel to the skyscraper, everything we are and everything we have comes from one attribute of-- the function of his reasoning mind.-- Ayn Rand",unknown
"The love of our neighbor in all its fullness simply means being able to say, What are you going through?-- Simone Weil",unknown
I don't wait for moods. You accomplish nothing if you do that. Your mind must know it has got to get down to work.-- Pearl S. Buck,unknown
"Life is a series of experiences, each one of which makes us bigger, even though it is hard to realize this. For the world was built to develop character, and we must learn that the setbacks and griefs which we endure help us in our marching onward.-- Sir Thomas Buxton",unknown
"I will speak to a youth which can accomplish everything, precisely because it accepts no past, obeys no present, and fears no future.-- Henry Ford",unknown
"The purpose of morality is to teach you, not to suffer and die, but to enjoy yourself and live.-- Rudyard Kipling",unknown
"If you can''t excel with talent, triumph with effort.-- Stephen G. Weinbaum",unknown
Never work just for money or for power. They won't save your soul or help you sleep at night.-- Marian Wright Edelman,unknown
"Great opportunities to help others seldom come, but small ones surround us every day.-- Henry Ford",unknown
"Careers, like rockets, don''t always take off on schedule. The key is to keep working the engines.-- Gary Sinise",unknown
In the depths of winter I finally learned there was in me an invincible summer.-- Albert Camus,unknown
"One of the greatest discoveries a man makes, one of his great surprises, is to find he can do what he was afraid he couldn''t do.-- Henry Ford",unknown
"The moment of truth, the sudden emergence of a new insight, is an act of intuition. Such intuitions give the appearance of miraculous flushes, or short-circuits of reasoning. In fact they may be likened to an immersed chain, of which only the beginning and the end are visible above the surface of consciousness. The diver vanishes at one end of the chain and comes up at the other end, guided by invisible links.-- Arthur Koestler",unknown
"When you have established that one alternative is good and the other is evil, there is no justification for the choice of a mixture. There is no justification ever for choosing any part of what you know to be evil.-- Ayn Rand",unknown
A laugh is a smile that bursts.-- Mary H. Waldrip,unknown
Exactitude in small matters is the essence of discipline.,unknown
"Our happiness is completely and utterly intertwined with other people: family, friends, neighbors and the woman who you hardly notice who cleans your office.-- Eric Weiner",unknown
"Imagine what a harmonious world it could be if every single person, both young and old, shared a little of what he is good at doing.-- Quincy Jones",unknown
Integrity has no need of rules.-- Albert Camus,unknown
Nobody can think straight who does not work. Idleness warps the mind.-- Henry Ford,unknown
"Some people think only intellect counts: knowing how to solve problems, knowing how to get by, knowing how to identify an advantage and seize it. But the functions of intellect are insufficient without courage, love, friendship, compassion and empathy.-- Dean Koontz",unknown
"They had that special grace, that special spirit that says, Give me a challenge and I''ll meet it with joy.-- Ronald Reagan",unknown
"Long before I wrote stories, I listened for stories. Listening for them is something more acute than listening to them. I suppose it''s an early form of participation in what goes on. Listening children know stories are there. When their elders sit and begin, children are just waiting and hoping for one to come out, like a mouse from its hole.-- Eudora Welty",unknown
"An essential part of a happy, healthy life is being of service to others.-- Susan Patton Thoele",unknown
"The brain may take advice, but not the heart, and love having no geography, knows no boundaries: weight and sink it deep, no matter, it will rise and find the surface.-- Truman Capote",unknown
To do more for the world than the world does for-- that is success.-- Henry Ford,unknown
"To succeed, we must first believe that we can.-- Michael Korda",unknown
There is more learning in the question itself than the answer.-- Andrew Weremy,unknown
You will rise by lifting others.-- Robert G. Ingersoll,unknown
"In the end the aggressors always destroy themselves, making way for others who know how to cooperate and get along. Life is much less a competitive struggle for survival than a triumph of cooperation and creativity.-- Fritjof Capra",unknown
Time and money spent in helping people to do more for themselves is far better than mere giving.-- Henry Ford,unknown
Honor isn't about making the right choices. It's about dealing with the consequences.-- Midori Koto,unknown
"Once you choose hope, anything is possible.-- Christopher Reeve",unknown
"Do all the good you can, by all the means you can, in all the ways you can, in all the places you can, at all the times you can, to all the people you can, as long as ever you can.-- John Wesley",unknown
"We are prone to judge success by the index of our salaries or the size of our automobiles, rather than by the quality of our service and relationship to humanity.-- Martin Luther King, Jr.",unknown
A man without a purpose is like a ship without a rudder.-- Thomas Carlyle,unknown
"Thinking is the hardest work there is, which is probably the reason why so few engage in it.-- Henry Ford",unknown
"Learn to get in touch with the silence within yourself, and know that everything in life has purpose. There are no mistakes, no coincidences. All events are blessings given to us to learn from.-- Elisabeth Kübler-Ross",unknown
"So many of our dreams at first seem impossible, then they seem improbable, and then when we summon the will, they soon become inevitable.-- Christopher Reeve",unknown
It is very easy to forgive others their mistakes; it takes more grit and gumption to forgive them for having witnessed your own.-- Jessamyn West,unknown
"I have found the paradox that if I love until it hurts, then there is no hurt, but only more love.-- Mother Teresa",unknown
Blessed is he who has found his work; let him ask no other blessedness.-- Thomas Carlyle,unknown
You can't build a reputation on what you are going to do.-- Henry Ford,unknown
"Old age is not a dis-- it is strength and survivorship, triumph over all kinds of vicissitudes and disappointments, trials and illnesses.-- Maggie Kuhn",unknown
I think a hero is an ordinary individual who finds strength to persevere and endure in spite of overwhelming obstacles.-- Christopher Reeve,unknown
"There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.-- Ella Wheeler Wilcox",unknown
"If you want happiness for an hour, take a nap. If you want happiness for a day, go fishing. If you want happiness for a year, inherit a fortune. If you want happiness for a lifetime, help somebody.-- Chinese Proverb",unknown
"Permanence, perseverance and persistence in spite of all obstacles, discouragements, and impossibilities: It is this that in all things distinguishes the strong soul from the weak.-- Thomas Carlyle",unknown
Failure is the opportunity to begin again more intelligently.-- Henry Ford,unknown
"Caring about others, running the risk of feeling, and leaving an impact on people, brings happiness.-- Harold Kushner",unknown
The most basic and powerful way to connect to another person is to listen. Just listen. Perhaps the most important thing we ever give each other is our attention...A loving silence often has far more power to heal and to connect than the most well-intentioned words.-- Rachel Naomi Remen,unknown
Maybe the Fountain of Youth isn't a fountain at all. Maybe it's a way of looking at things. A way of thinking.-- Charles Whitley,unknown
"Believe, when you are most unhappy, that there is something for you to do in the world. So long as you can sweeten another''s pain, life is not in vain.-- Helen Keller",unknown
A mystic bond of brotherhood makes all men one.-- Thomas Carlyle,unknown
"Whether you think that you can, or that you can''t, you are usually right.-- Henry Ford",unknown
It's the most breathtakingly ironic things about living: the fact that we are all...alone. Singular. And yet what we -- what save-- is our connection to others.-- Wally Lamb,unknown
We cannot really love anybody with whom we never laugh.-- Agnes Repplier,unknown
"Friendship marks a life even more deeply than love. Love risks degenerating into obsession, friendship is never anything but sharing.-- Elie Wiesel",unknown
"Condemn none: if you can stretch out a helping hand, do so. If you cannot, fold your hands, bless your brothers, and let them go their own way.-- Swami Vivekananda",unknown
"Our grand duty is not to see what lies dimly in the distance, but to do what lies clearly at hand.-- Thomas Carlyle",unknown
Only connect.-- E. M. Forster,unknown
I do not at all understand the mystery of g-- only that it meets us where we are but does not leave us where it found us.-- Anne Lamott,unknown
Humor brings insight and tolerance. Irony brings a deeper and less friendly understanding.-- Agnes Repplier,unknown
"Example is the school of mankind, and they will learn at no other.",unknown
"You have it easily in your power to increase the sum total of this world''s happiness now. How? By giving a few words of sincere appreciation to someone who is lonely or discouraged. Perhaps you will forget tomorrow the kind words you say today, but the recipient may cherish them over a lifetime.-- Dale Carnegie",unknown
One must be fond of people and trust them if one is not to make a mess of life.-- E. M. Forster,unknown
Promise yourself to be just as enthusiastic about the success of others as you are about your own.-- Christian D. Larson,unknown
"Depend upon yourself. Make your judgement trustworthy by trusting it. You can develop good judgement as you do the muscles of your -- by judicious, daily exercise. To be known as a man of sound judgement will be much in your favor.-- Grantland Rice",unknown
"Pleasure is Nature''s test, her sign of approval. When man is happy, he is in harmony with himself and his environment.-- Oscar Wilde",unknown
"Humility does not mean thinking less of yourself than of other people, nor does it mean having a low opinion of your own gifts. It means freedom from thinking about yourself at all.-- William Temple",unknown
Most of the important things in the world have been accomplished by people who have kept on trying when there seemed to be no hope at all.-- Dale Carnegie,unknown
"The fact is we can only love what we know personally. And we cannot know much. In public affairs, in the rebuilding of civilization, something less dramatic and emotional is needed, namely tolerance.-- E. M. Forster",unknown
The difference between the impossible and the possible lies in a person's determination.-- Thomas Tommy Lasorda,unknown
They learn tolerance for others' faults through our tolerance of their own.-- Cathy Ridner Tempelsman,unknown
"Ordinary riches can be stolen, real riches cannot. In your soul are infinitely precious things that cannot be taken from you.-- Oscar Wilde",unknown
"It is well to remember that the entire population of the universe, with one trifling exception, is composed of others.-- Andrew J. Holmes",unknown
"Are you bored with life? Then throw yourself into some work you believe in with all your heart, live for it, die for it, and you will find happiness that you had thought could never be yours.-- Dale Carnegie",unknown
"Love and respect are the most important aspects of parenting, and of all relationships.-- Jodie Foster",unknown
The great virtue in life is real courage that knows how to face facts and live beyond them.-- D.H. Lawrence,unknown
"I beg you to have patience with everything unresolved in your heart and try to love the questions themselves...Don''t search for the answers, which could not be given to you now...the point is, to live everything. Live the questions now.-- Rainer Maria Rilke",unknown
We can only be said to be alive in those moments when our hearts are conscious of our treasures.-- Thornton Wilder,unknown
What kills a skunk is the publicity it gives itself.-- Abraham Lincoln,unknown
To me it seems that to give happiness is a far nobler goal that to attain it: and that what we exist for is much more a matter of relations to others than a matter of individual progress: much more a matter of helping others to heaven than of getting there ourselves.-- Lewis Carroll [Charles Lutwidge Dodgson],unknown
Compassion is not sentiment but is making justice and doing works of mercy. Compassion is not a moral commandment but a flow and overflow of the fullest human and divine energies.-- Matthew Fox,unknown
"The only rule is, do what you really, impulsively, wish to do. But always act on your own responsibility, sincerely. And have the courage of your own strong emotion.-- D.H. Lawrence",unknown
"For one human being to love another: that is perhaps the most difficult of our tasks; the ultimate, the last test and proof, the work for which all other work is but preparation.-- Rainer Maria Rilke",unknown
"Hope, like faith, is nothing if it is not courageous; it is nothing if it is not ridiculous.-- Thornton Wilder",unknown
Too many people overvalue what they are not and undervalue what they are.-- Malcolm S. Forbes,unknown
"We are like pieces in a jigsaw puzzle. We are all unique, and have our own special place in the puzzle of the universe. Without each of us, the puzzle is incomplete.-- Rod Williams",unknown
"How far you go in life depends on you being tender with the young, compassionate with the aged, sympathetic with the striving and tolerant of the weak and the strong. Because someday in life you will have been all of these.-- George Washington Carver",unknown
The whole art of teaching is only the art of awakening the natural curiosity of young minds for the purpose of satisfying it afterwards.-- Anatole France,unknown
"All men dream, but not equally. Those who dream by night in the dusty recesses of their minds, wake in the day to find that it was vanity: but the dreamers of the day are dangerous men, for they may act on their dreams with open eyes, to make them possible.-- T. E. Lawrence of Arabia",unknown
"To achieve the impossible, it is precisely the unthinkable that must be thought.-- Tom Robbins",unknown
I have always depended on the kindness of strangers.-- Tennessee Williams,unknown
"We are all worms, but I do believe I am a glowworm.-- Sir Winston Churchill",unknown
I feel the capacity to care is the thing which gives life its deepest significance.-- Pablo Casals,unknown
Make hatred hated!-- Anatole France,unknown
Give children at least as many chances to show compassion as they have to be competitive.-- Erica Layman,unknown
Inspire and bring joy to all those you touch.-- Rod Williams,unknown
Blushing is the color of virtue.-- Diogenes of Sinope,unknown
"You have to believe in yourself, that''s the secret. Even when I was in the orphanage, when I was roaming the street trying to find enough to eat, even then I thought of myself as the greatest actor in the world. I had to feel the exuberance that comes from utter confidence in yourself. Without it, you go down to defeat.-- Charlie Chaplin",unknown
How wonderful that no one need wait a single moment to improve the world.-- Anne Frank,unknown
"As great scientists have said and as all children know, it is above all by the imagination that we achieve perception, and compassion, and hope.-- Ursula K. Le Guin",unknown
"If you don''t go after what you want, you''ll never have it. If you don''t ask, the answer is always no. If you don''t step forward, you''re always in the same place.-- Nora Roberts",unknown
"Good words bring good feelings to the heart. Speak with kindness, always.-- Rod Williams",unknown
"No one should be ashamed to admit they are wrong, which is but saying, in other words, that they are wiser today than they were yesterday.-- Alexander Pope",unknown
"We think too much and feel too little. More than machinery, we need humanity. More than cleverness, we need kindness and gentleness.-- Charlie Chaplin",unknown
"In spite of everything I still believe that people are really good at heart. I simply can''t build up my hopes on a foundation consisting of confusion, misery and death.-- Anne Frank",unknown
"It is good to have an end to journey toward; but it is the journey that matters, in the end.-- Ursula K. Le Guin",unknown
"I believe that every right implies a responsibility; every opportunity an obligation; every possession a duty.-- John D. Rockefeller, Jr.",unknown
Change what you can change and acknowledge and accept what you can't.-- Rod Williams,unknown
Humility is the only true wisdom by which we prepare our minds for all the possible changes of life.-- George Arliss,unknown
"Parents can only give good advice or put [their children] on the right path, but the final forming of a person''s character lies in their own hands.-- Anne Frank",unknown
"I do not think there is any other quality so essential to success of any kind as the quality of perseverance. It overcomes almost everything, even nature.-- John D. Rockefeller, Sr.",unknown
"To appreciate the balance in life, you have to lose it every now and then.-- Rod Williams",unknown
"Humility is like underwear; essential, but indecent if it shows.-- Helen Nielsen",unknown
We all live with the objective of being happy; our lives are all different and yet the same.-- Anne Frank,unknown
The Greatest Investment we can ever make is to invest our life in the life of someone else.-- Scott Lee,unknown
"If you think you''re too small to have an impact, try going to bed with a mosquito in the room.-- Anita Roddick",unknown
"You can''t change your past, and your future has not happened. Focus your energy on enjoying the moment you are living right now.-- Rod Williams",unknown
"True merit, like a river, the deeper it is, the less noise it makes.-- Edward Frederick Lindley Wood",unknown
Service to a just cause rewards the worker with more real happiness and satisfaction than any other venture of life.-- Carrie Chapman Catt,unknown
"We who lived in concentration camps can remember the men who walked through the huts comforting others, giving away their last piece of bread. They may have been few in number, but they offer sufficient proof that everything can be taken from a man but one thing: the last of the human free-- to choose one''s attitude in any given set of circumstances, to choose one''s own way.-- Viktor Frankl",unknown
Ambition beats genius 99 percent of the time.-- Jay Leno,unknown
Lead your life so you wouldn't be ashamed to sell the family parrot to the town gossip.-- Will Rogers,unknown
I choose to believe I can and will change the world with my words and thoughts.-- Rod Williams,unknown
"Learning is not attained by chance, it must be sought for with ardor and attended to with diligence.-- Abigail Adams",unknown
"Love is a special word, and I use it only when I mean it. You say the word too much and it becomes cheap.-- Ray Charles",unknown
"Personality can open doors, but only character can keep them open.-- Elmer G. Letterman",unknown
"Even if you''re on the right track, you''ll get run over if you just sit there.-- Will Rogers",unknown
Weakness is nothing more than an opportunity to grow.-- Rod Williams,unknown
"To understand is to forgive, even oneself.-- Euripides",unknown
Love one another and you will be happy. It's as simple and as difficult as that.-- Alexander Chase,unknown
"I doubt that we can ever successfully impose values or attitudes or behaviors on our children certainly not by threat, guilt, or punishment. But I do believe they can be induced through relationships where parents and children are growing together. Such relationships are, I believe, build on trust, example, talk, and caring.-- Micael Leunig",unknown
We learn by example and by direct experience because there are real limits to the adequacy of verbal instruction.-- Malcolm Gladwell,unknown
"Little, vicious minds abound with anger and revenge, and are incapable of feeling the pleasure of forgiving their enemies.-- Lord Chesterfield",unknown
"Be slow in choosing a friend, slower in changing.-- Benjamin Franklin",unknown
"When we no longer hold people responsible for their choices, civility and common sense will be diminished.-- Robert A. Levy",unknown
